id,character,created_at,updated_at,jlpt,grade,kanjimap_url,kanjigraph_url,meanings,cluster,learned
269,茶,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/茶,japanesegraph.com/茶,"[""tea, brown color"", ""tea plant"", ""teacup""]",food,false
270,西,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/西,japanesegraph.com/西,"[""west"", ""western direction""]",direction_position,false
271,親,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/親,japanesegraph.com/親,"[""parent, close, intimate"", ""familiar"", ""friendly""]",family,false
272,角,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e2,thekanjimap.com/角,japanesegraph.com/角,"[""corner, angle"", ""horn"", ""square""]",,false
273,記,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n3,e2,thekanjimap.com/記,japanesegraph.com/記,"[""record, note"", ""write down"", ""mark""]",communication,false
274,語,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/語,japanesegraph.com/語,"[""language, word"", ""story"", ""tell""]",communication,false
275,谷,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e2,thekanjimap.com/谷,japanesegraph.com/谷,"[""valley, gorge"", ""ravine"", ""hollow""]",nature,false
276,週,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/週,japanesegraph.com/週,"[""week"", ""weekly""]",time_date,false
277,道,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/道,japanesegraph.com/道,"[""road, way, path"", ""way of life"", ""method""]",transportation,false
278,里,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e2,thekanjimap.com/里,japanesegraph.com/里,"[""village, hometown"", ""ri (unit of distance"", ""~4km)""]",geography_place,false
279,門,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e2,thekanjimap.com/門,japanesegraph.com/門,"[""gate, entrance"", ""school"", ""family line""]",building_place,false
280,間,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n5,e2,thekanjimap.com/間,japanesegraph.com/間,"[""interval, space"", ""between"", ""among"", ""room""]",,false
281,雪,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/雪,japanesegraph.com/雪,"[""snow"", ""snowfall""]",weather,false
282,雲,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/雲,japanesegraph.com/雲,"[""cloud""]",weather,false
283,頭,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/頭,japanesegraph.com/頭,"[""head, mind"", ""top"", ""leader"", ""beginning""]",body_part,false
284,顔,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/顔,japanesegraph.com/顔,"[""face"", ""expression"", ""look"", ""honor""]",body_part,false
285,風,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/風,japanesegraph.com/風,"[""wind, style"", ""manner"", ""cold (illness)"", ""custom""]",weather,false
286,首,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/首,japanesegraph.com/首,"[""neck, head"", ""chief"", ""top""]",body_part,false
287,馬,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/馬,japanesegraph.com/馬,"[""horse"", ""horse racing""]",animal,false
288,鳥,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/鳥,japanesegraph.com/鳥,"[""bird"", ""poultry"", ""fowl""]",animal,false
289,麦,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e2,thekanjimap.com/麦,japanesegraph.com/麦,"[""wheat, barley"", ""grain""]",plant,false
290,万,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/万,japanesegraph.com/万,"[""ten thousand"", ""all"", ""many"", ""myriad""]",number,false
291,作,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n5,e2,thekanjimap.com/作,japanesegraph.com/作,"[""make, create, produce"", ""work"", ""harvest"", ""write""]",work_occupation,false
292,光,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e2,thekanjimap.com/光,japanesegraph.com/光,"[""light, ray"", ""shine"", ""glory"", ""honor""]",nature,false
293,分,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n5,e2,thekanjimap.com/分,japanesegraph.com/分,"[""part, portion, minute"", ""understand"", ""divide"", ""share""]",time_date,false
294,合,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e2,thekanjimap.com/合,japanesegraph.com/合,"[""fit, match, suit"", ""combine"", ""meet"", ""total""]",,false
295,回,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/回,japanesegraph.com/回,"[""turn, revolve"", ""times (counter)"", ""round""]",quantity_degree,false
296,思,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e2,thekanjimap.com/思,japanesegraph.com/思,"[""think, feel"", ""consider"", ""imagine"", ""believe""]",emotion,false
297,教,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/教,japanesegraph.com/教,"[""teach, instruct"", ""religion"", ""doctrine""]",education,false
298,数,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/数,japanesegraph.com/数,"[""number, count, quantity"", ""several"", ""few""]",number,false
299,晴,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/晴,japanesegraph.com/晴,"[""clear weather, sunny"", ""to clear up""]",weather,false
300,来,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n5,e2,thekanjimap.com/来,japanesegraph.com/来,"[""come, arrive"", ""future"", ""next""]",time_date,false
301,歌,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/歌,japanesegraph.com/歌,"[""song, poem"", ""sing""]",art_music,false
302,止,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e2,thekanjimap.com/止,japanesegraph.com/止,"[""stop, halt"", ""to cease"", ""to prevent""]",,false
303,歩,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n5,e2,thekanjimap.com/歩,japanesegraph.com/歩,"[""walk, step"", ""pace"", ""footstep""]",,false
304,直,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e2,thekanjimap.com/直,japanesegraph.com/直,"[""straight, direct"", ""honest"", ""to fix"", ""immediately""]",,false
305,知,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n5,e2,thekanjimap.com/知,japanesegraph.com/知,"[""know, knowledge"", ""wisdom"", ""awareness""]",education,false
306,答,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/答,japanesegraph.com/答,"[""answer, reply"", ""response"", ""solution""]",education,false
307,考,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e2,thekanjimap.com/考,japanesegraph.com/考,"[""think, consider"", ""thought"", ""idea""]",,false
308,聞,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/聞,japanesegraph.com/聞,"[""hear, listen, ask"", ""to inquire"", ""to smell""]",communication,false
309,行,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n5,e2,thekanjimap.com/行,japanesegraph.com/行,"[""go, travel, conduct"", ""line (of text)"", ""bank (as in 銀行)""]",transportation,false
310,言,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/言,japanesegraph.com/言,"[""say, speak, word"", ""language"", ""expression""]",communication,false
311,話,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/話,japanesegraph.com/話,"[""talk, story, conversation"", ""subject"", ""matter""]",communication,false
312,読,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/読,japanesegraph.com/読,"[""read"", ""reading"", ""recitation""]",communication,false
313,買,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/買,japanesegraph.com/買,"[""buy, purchase"", ""to acquire""]",money_business,false
314,走,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/走,japanesegraph.com/走,"[""run"", ""speed"", ""sprint""]",sports_recreation,false
315,通,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/通,japanesegraph.com/通,"[""pass through, commute"", ""communicate"", ""throughout""]",communication,false
316,鳴,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e2,thekanjimap.com/鳴,japanesegraph.com/鳴,"[""cry, chirp, ring, sound"", ""sing (birds)"", ""bark"", ""roar""]",animal,false
317,楽,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/楽,japanesegraph.com/楽,"[""enjoyment, fun"", ""music"", ""comfort"", ""ease""]",art_music,false
318,丁,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/丁,japanesegraph.com/丁,"[""town block, even number"", ""counter for long thin things""]",number,false
319,事,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e3,thekanjimap.com/事,japanesegraph.com/事,"[""thing, matter, fact"", ""work"", ""incident"", ""circumstance""]",,false
320,安,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n5,e3,thekanjimap.com/安,japanesegraph.com/安,"[""cheap, inexpensive"", ""peaceful"", ""ease"", ""relief""]",money_business,false
321,寒,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/寒,japanesegraph.com/寒,"[""cold (weather)"", ""chilly"", ""bleak""]",weather,false
322,幸,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/幸,japanesegraph.com/幸,"[""happiness, good fortune"", ""luck"", ""blessing""]",emotion,false
323,悪,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e3,thekanjimap.com/悪,japanesegraph.com/悪,"[""bad, evil"", ""wrong"", ""wicked"", ""poor (quality)""]",,false
324,悲,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/悲,japanesegraph.com/悲,"[""sad, sorrow, grief"", ""tragic""]",emotion,false
325,暑,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/暑,japanesegraph.com/暑,"[""hot (weather)"", ""sweltering"", ""sultry""]",weather,false
326,暗,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e3,thekanjimap.com/暗,japanesegraph.com/暗,"[""dark, dim"", ""gloomy"", ""depressing""]",,false
327,深,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/深,japanesegraph.com/深,"[""deep, profound"", ""intense"", ""strong""]",size_measure,false
328,真,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/真,japanesegraph.com/真,"[""true, genuine, real"", ""exact"", ""pure""]",,false
329,美,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/美,japanesegraph.com/美,"[""beautiful, beauty"", ""pretty"", ""lovely""]",art_music,false
330,苦,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/苦,japanesegraph.com/苦,"[""painful, bitter, suffering"", ""hard"", ""difficult""]",emotion,false
331,軽,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/軽,japanesegraph.com/軽,"[""light (weight), easy"", ""slight"", ""casual""]",size_measure,false
332,速,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/速,japanesegraph.com/速,"[""fast, quick, speed"", ""rapid"", ""swift""]",quantity_degree,false
333,重,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/重,japanesegraph.com/重,"[""heavy, important"", ""multiple layers"", ""overlap""]",size_measure,false
334,面,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/面,japanesegraph.com/面,"[""face, surface"", ""aspect"", ""mask"", ""side""]",body_part,false
335,世,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/世,japanesegraph.com/世,"[""world, society"", ""generation"", ""era"", ""age""]",time_date,false
336,両,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/両,japanesegraph.com/両,"[""both, pair"", ""two"", ""both sides""]",number,false
337,主,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/主,japanesegraph.com/主,"[""main, primary, master"", ""owner"", ""lord"", ""host""]",,false
338,他,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/他,japanesegraph.com/他,"[""other, another"", ""else"", ""besides""]",,false
339,代,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e3,thekanjimap.com/代,japanesegraph.com/代,"[""generation, era, age"", ""price"", ""substitute"", ""in place of""]",,false
340,係,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/係,japanesegraph.com/係,"[""person in charge, connection"", ""relation"", ""involvement""]",work_occupation,false
341,倍,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/倍,japanesegraph.com/倍,"[""double, twice, times"", ""multiple""]",quantity_degree,false
342,全,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e3,thekanjimap.com/全,japanesegraph.com/全,"[""all, entire, complete"", ""whole"", ""total""]",,false
343,具,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/具,japanesegraph.com/具,"[""tool, equipment, implement"", ""ingredient"", ""component""]",tool_object,false
344,列,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/列,japanesegraph.com/列,"[""row, line, column"", ""rank"", ""queue""]",,false
345,勉,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/勉,japanesegraph.com/勉,"[""diligence, study hard""]",education,false
346,化,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/化,japanesegraph.com/化,"[""change, transform"", ""influence"", ""convert""]",,false
347,区,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/区,japanesegraph.com/区,"[""ward, district, section"", ""divide"", ""partition""]",geography_place,false
348,医,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/医,japanesegraph.com/医,"[""medicine, doctor"", ""heal"", ""cure""]",body_health,false
349,反,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/反,japanesegraph.com/反,"[""anti, reverse, oppose"", ""go against"", ""disobey""]",,false
350,号,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/号,japanesegraph.com/号,"[""number, issue, signal"", ""pseudonym"", ""name""]",number,false
351,君,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n4,e3,thekanjimap.com/君,japanesegraph.com/君,"[""you (familiar, mainly male)"", ""lord"", ""master""]",,false
352,命,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/命,japanesegraph.com/命,"[""life, fate"", ""command"", ""order""]",,false
353,和,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/和,japanesegraph.com/和,"[""harmony, peace, Japan"", ""calm"", ""sum""]",,false
354,商,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/商,japanesegraph.com/商,"[""commerce, trade, business"", ""negotiate"", ""merchant""]",money_business,false
355,問,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/問,japanesegraph.com/問,"[""question, problem, ask"", ""inquire"", ""visit""]",communication,false
356,坂,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/坂,japanesegraph.com/坂,"[""slope, hill"", ""incline""]",nature,false
357,央,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n2,e3,thekanjimap.com/央,japanesegraph.com/央,"[""center, middle""]",direction_position,false
358,委,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n3,e3,thekanjimap.com/委,japanesegraph.com/委,"[""entrust, committee"", ""delegate""]",government_law,false
359,実,2026-07-11T13:07:25.437973+00:00,2026-07-11T13:07:25.437973+00:00,n3,e3,thekanjimap.com/実,japanesegraph.com/実,"[""reality, truth, actual"", ""fruit"", ""seed"", ""sincerity""]",,false
360,客,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/客,japanesegraph.com/客,"[""guest, customer, visitor"", ""passenger"", ""client""]",money_business,false
361,宮,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n2,e3,thekanjimap.com/宮,japanesegraph.com/宮,"[""palace, shrine"", ""royalty"", ""prince""]",building_place,false
362,宿,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/宿,japanesegraph.com/宿,"[""lodging, inn"", ""overnight stay"", ""home""]",building_place,false
363,局,2026-07-11T13:07:25.437973+00:00,2026-07-16T14:49:15.924881+00:00,n3,e3,thekanjimap.com/局,japanesegraph.com/局,"[""bureau, office, broadcasting station"", ""situation"", ""phase""]",building_place,false
364,屋,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/屋,japanesegraph.com/屋,"[""house, room, store"", ""shop"", ""roof""]",building_place,false
365,岸,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/岸,japanesegraph.com/岸,"[""bank, shore, coast"", ""waterside""]",geography_place,false
366,島,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/島,japanesegraph.com/島,"[""island"", ""isle""]",geography_place,false
367,州,2026-07-11T13:07:25.437973+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/州,japanesegraph.com/州,"[""state, province, continent"", ""sandbar""]",geography_place,false
368,転,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/転,japanesegraph.com/転,"[""roll, turn, change"", ""move"", ""shift"", ""tumble""]",,false
369,炭,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/炭,japanesegraph.com/炭,"[""charcoal, coal, carbon"", ""soot""]",nature,false
370,研,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/研,japanesegraph.com/研,"[""polish, study, research"", ""grind"", ""sharpen""]",education,false
371,投,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n3,e3,thekanjimap.com/投,japanesegraph.com/投,"[""throw, toss, invest"", ""pitch"", ""cast""]",,false
372,低,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e4,thekanjimap.com/低,japanesegraph.com/低,"[""low"", ""short"", ""inferior""]",size_measure,false
373,部,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/部,japanesegraph.com/部,"[""section, part, club"", ""department"", ""portion""]",,false
374,病,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/病,japanesegraph.com/病,"[""sick, ill, disease"", ""ailment"", ""weakness""]",body_health,false
375,柱,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n3,e3,thekanjimap.com/柱,japanesegraph.com/柱,"[""pillar, column, post"", ""support"", ""mainstay""]",,false
376,勝,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/勝,japanesegraph.com/勝,"[""win, victory"", ""excel"", ""surpass""]",sports_recreation,false
377,動,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/動,japanesegraph.com/動,"[""move, motion"", ""operate"", ""stir""]",,false
378,健,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/健,japanesegraph.com/健,"[""healthy, vigorous"", ""strong""]",body_health,false
379,住,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/住,japanesegraph.com/住,"[""live, reside, dwell""]",,false
380,不,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n3,e4,thekanjimap.com/不,japanesegraph.com/不,"[""not, un- (negative prefix)"", ""bad"", ""improper""]",,false
381,緑,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/緑,japanesegraph.com/緑,"[""green, verdure"", ""greenery"", ""foliage""]",color,false
382,根,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/根,japanesegraph.com/根,"[""root, base"", ""origin"", ""foundation""]",plant,false
383,薬,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/薬,japanesegraph.com/薬,"[""medicine, drug, remedy"", ""chemical"", ""cure""]",body_health,false
384,登,2026-07-11T13:08:47.198052+00:00,2026-07-16T14:49:15.924881+00:00,n3,e3,thekanjimap.com/登,japanesegraph.com/登,"[""climb, ascend"", ""register"", ""appear""]",sports_recreation,false
385,板,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/板,japanesegraph.com/板,"[""board, plank, plate"", ""flat piece""]",tool_object,false
386,陽,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/陽,japanesegraph.com/陽,"[""sun, sunlight, positive"", ""warmth"", ""yang""]",nature,false
387,進,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/進,japanesegraph.com/進,"[""advance, progress, proceed"", ""go forward"", ""improve""]",,false
388,決,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/決,japanesegraph.com/決,"[""decide, determine"", ""fix"", ""settle""]",,false
389,鉄,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/鉄,japanesegraph.com/鉄,"[""iron, steel"", ""railway (as in 鉄道)""]",transportation,false
390,童,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/童,japanesegraph.com/童,"[""child, young one"", ""innocent""]",family,false
391,念,2026-07-11T13:08:47.198052+00:00,2026-07-16T14:49:15.924881+00:00,n3,e4,thekanjimap.com/念,japanesegraph.com/念,"[""thought, concern"", ""feeling"", ""desire""]",emotion,false
392,詩,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/詩,japanesegraph.com/詩,"[""poem, poetry"", ""poetic composition""]",art_music,false
393,談,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/談,japanesegraph.com/談,"[""talk, discuss, chat"", ""negotiation"", ""conference""]",communication,false
394,配,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n3,e3,thekanjimap.com/配,japanesegraph.com/配,"[""distribute, worry, arrange"", ""deliver"", ""allocate""]",,false
395,意,2026-07-11T13:08:47.198052+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/意,japanesegraph.com/意,"[""mind, intention, meaning"", ""sense"", ""will""]",emotion,false
396,旅,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/旅,japanesegraph.com/旅,"[""travel, trip, journey"", ""voyage""]",transportation,false
397,県,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/県,japanesegraph.com/県,"[""prefecture (administrative division)"", ""county""]",geography_place,false
398,歯,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/歯,japanesegraph.com/歯,"[""tooth, teeth"", ""cog"", ""gear tooth""]",body_part,false
399,皿,2026-07-11T13:08:47.198052+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/皿,japanesegraph.com/皿,"[""plate, dish"", ""saucer"", ""tray""]",tool_object,false
400,完,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n3,e4,thekanjimap.com/完,japanesegraph.com/完,"[""complete, finish"", ""perfect""]",,false
401,起,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n5,e3,thekanjimap.com/起,japanesegraph.com/起,"[""rise, get up, happen"", ""originate"", ""awaken""]",,false
402,写,2026-07-11T13:08:47.198052+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/写,japanesegraph.com/写,"[""copy, photograph"", ""transcribe"", ""depict""]",art_music,false
403,平,2026-07-11T13:08:47.198052+00:00,2026-07-11T13:08:47.198052+00:00,n4,e3,thekanjimap.com/平,japanesegraph.com/平,"[""flat, level, peace"", ""ordinary"", ""calm""]",,false
